,Model Number,Accuracy,Trigger,Sample Count
0,1,0.9839000105857849,False,2
1,2,0.9869499802589417,False,2
2,3,0.9875500202178955,False,2
3,4,0.9862499833106995,False,2
4,1,0.11140000075101852,True,2
5,2,0.10570000112056732,True,2
6,3,0.10400000214576721,True,2
7,4,0.10520000010728836,True,2
8,1,0.9346333146095276,False,4
9,2,0.9779666662216187,False,4
10,3,0.9792333245277405,False,4
11,4,0.9782999753952026,False,4
12,1,0.17800000309944153,True,4
13,2,0.11699999868869781,True,4
14,3,0.11344999819993973,True,4
15,4,0.1145000010728836,True,4
16,1,0.8398249745368958,False,6
17,2,0.9441999793052673,False,6
18,3,0.9489750266075134,False,6
19,4,0.9466500282287598,False,6
20,1,0.3026333451271057,True,6
21,2,0.156700000166893,True,6
22,3,0.14706666767597198,True,6
23,4,0.15183334052562714,True,6
24,1,0.7154800295829773,False,8
25,2,0.8671799898147583,False,8
26,3,0.8659999966621399,False,8
27,4,0.876039981842041,False,8
28,1,0.4509750008583069,True,8
29,2,0.25029999017715454,True,8
30,3,0.24895000457763672,True,8
31,4,0.24040000140666962,True,8
32,1,0.622783362865448,False,10
33,2,0.8145333528518677,False,10
34,3,0.8086833357810974,False,10
35,4,0.82833331823349,False,10
36,1,0.5513799786567688,True,10
37,2,0.30941998958587646,True,10
38,3,0.31442001461982727,True,10
39,4,0.2968200147151947,True,10
40,1,0.5535571575164795,False,12
41,2,0.7878857254981995,False,12
42,3,0.7768999934196472,False,12
43,4,0.8033285737037659,False,12
44,1,0.6211833357810974,True,12
45,2,0.3332666754722595,True,12
46,3,0.34299999475479126,True,12
47,4,0.31851667165756226,True,12
48,1,0.5037750005722046,False,14
49,2,0.782212495803833,False,14
50,3,0.7667624950408936,False,14
51,4,0.7991625070571899,False,14
52,1,0.6690142750740051,True,14
53,2,0.3343571424484253,True,14
54,3,0.3482714295387268,True,14
55,4,0.3165571391582489,True,14
56,1,0.46665555238723755,False,16
57,2,0.7841777801513672,False,16
58,3,0.7674221992492676,False,16
59,4,0.8026999831199646,False,16
60,1,0.7031499743461609,True,16
61,2,0.3273249864578247,True,16
62,3,0.34287500381469727,True,16
63,4,0.3063125014305115,True,16
64,1,0.43845000863075256,False,18
65,2,0.7954599857330322,False,18
66,3,0.7779800295829773,False,18
67,4,0.8135899901390076,False,18
68,1,0.728255569934845,True,18
69,2,0.30792221426963806,True,18
70,3,0.3248000144958496,True,18
71,4,0.28743332624435425,True,18
72,1,0.41492727398872375,False,20
73,2,0.8063727021217346,False,20
74,3,0.7901909351348877,False,20
75,4,0.8226090669631958,False,20
76,1,0.7486100196838379,True,20
77,2,0.2859799861907959,True,20
78,3,0.30382001399993896,True,20
79,4,0.2682099938392639,True,20
80,1,0.39443331956863403,False,22
81,2,0.8125749826431274,False,22
82,3,0.7998250126838684,False,22
83,4,0.8269666433334351,False,22
84,1,0.7662181854248047,True,22
85,2,0.263700008392334,True,22
86,3,0.28227272629737854,True,22
87,4,0.25009089708328247,True,22
88,1,0.37584614753723145,False,24
89,2,0.8150153756141663,False,24
90,3,0.8056307435035706,False,24
91,4,0.8280230760574341,False,24
92,1,0.7820083498954773,True,24
93,2,0.24271667003631592,True,24
94,3,0.26167500019073486,True,24
95,4,0.2323666661977768,True,24
96,1,0.3585857152938843,False,26
97,2,0.815592885017395,False,26
98,3,0.8089571595191956,False,26
99,4,0.8257285952568054,False,26
100,1,0.7966230511665344,True,26
101,2,0.22421538829803467,True,26
102,3,0.24233846366405487,True,26
103,4,0.21531538665294647,True,26
104,1,0.34173333644866943,False,28
105,2,0.8145133256912231,False,28
106,3,0.8107866644859314,False,28
107,4,0.8209666609764099,False,28
108,1,0.8108857274055481,True,28
109,2,0.2082071453332901,True,28
110,3,0.22512857615947723,True,28
111,4,0.200021430850029,True,28
112,1,0.3266875147819519,False,30
113,2,0.8109187483787537,False,30
114,3,0.8111562728881836,False,30
115,4,0.8141562342643738,False,30
116,1,0.8234933614730835,True,30
117,2,0.19432666897773743,True,30
118,3,0.21012666821479797,True,30
119,4,0.1867000013589859,True,30
120,1,0.31341177225112915,False,32
121,2,0.8070235252380371,False,32
122,3,0.8107176423072815,False,32
123,4,0.8080470561981201,False,32
124,1,0.8345249891281128,True,32
125,2,0.182181254029274,True,32
126,3,0.19705624878406525,True,32
127,4,0.17505000531673431,True,32
