,Model Number,Accuracy,Sample Count
255,4,0.3645092248916626,16384
256,1,0.32851213216781616,16640
257,2,0.361263632774353,16640
258,3,0.3541727364063263,16640
259,4,0.36043787002563477,16640
260,1,0.3251432776451111,16896
261,2,0.35740596055984497,16896
262,3,0.3503403067588806,16896
263,4,0.3565119504928589,16896
264,1,0.3218735158443451,17152
265,2,0.35366177558898926,17152
266,3,0.3467000126838684,17152
267,4,0.35278087854385376,17152
268,1,0.31869855523109436,17408
269,2,0.3499999940395355,17408
270,3,0.34309855103492737,17408
271,4,0.34913188219070435,17408
272,1,0.3156142830848694,17664
273,2,0.34646856784820557,17664
274,3,0.3396657109260559,17664
275,4,0.34561285376548767,17664
276,1,0.31261691451072693,17920
277,2,0.34284508228302,17920
278,3,0.336230993270874,17920
279,4,0.342094361782074,17920
280,1,0.3097027838230133,18176
281,2,0.33951109647750854,18176
282,3,0.332913875579834,18176
283,4,0.3387708365917206,18176
284,1,0.3068684935569763,18432
285,2,0.3362424671649933,18432
286,3,0.3296876847743988,18432
287,4,0.33551234006881714,18432
288,1,0.3041108250617981,18688
289,2,0.33308783173561096,18688
290,3,0.3266216218471527,18688
291,4,0.33251217007637024,18688
292,1,0.3014266788959503,18944
293,2,0.3300173282623291,18944
294,3,0.32363733649253845,18944
295,4,0.329449325799942,18944
296,1,0.2988131642341614,19200
297,2,0.32700395584106445,19200
298,3,0.3206605315208435,19200
299,4,0.32639604806900024,19200
300,1,0.2962675392627716,19456
301,2,0.32409220933914185,19456
302,3,0.3178311586380005,19456
303,4,0.3234921991825104,19456
304,1,0.2937871813774109,19712
305,2,0.32119616866111755,19712
306,3,0.31501537561416626,19712
307,4,0.32066795229911804,19712
308,1,0.29136961698532104,19968
309,2,0.31843164563179016,19968
310,3,0.31232911348342896,19968
311,4,0.3179101347923279,19968
312,1,0.28901249170303345,20224
313,2,0.3155662417411804,20224
314,3,0.3095400035381317,20224
315,4,0.31535500288009644,20224
316,1,0.286713570356369,20480
317,2,0.3129160404205322,20480
318,3,0.3069876432418823,20480
319,4,0.3127308785915375,20480
320,1,0.28447073698043823,20736
321,2,0.31033170223236084,20736
322,3,0.3044317066669464,20736
323,4,0.3101048767566681,20736
324,1,0.28228193521499634,20992
325,2,0.30777350068092346,20992
326,3,0.3019445836544037,20992
327,4,0.307549387216568,20992
328,1,0.28014522790908813,21248
329,2,0.30533334612846375,21248
330,3,0.2995738089084625,21248
331,4,0.3050904870033264,21248
332,1,0.27805882692337036,21504
333,2,0.3029294013977051,21504
334,3,0.29725882411003113,21504
335,4,0.30268940329551697,21504
336,1,0.27602094411849976,21760
337,2,0.30054885149002075,21760
338,3,0.2949441969394684,21760
339,4,0.30030232667922974,21760
340,1,0.2740298807621002,22016
341,2,0.29819539189338684,22016
342,3,0.29274022579193115,22016
343,4,0.29797011613845825,22016
344,1,0.2720840871334076,22272
345,2,0.295974999666214,22272
346,3,0.2905818223953247,22272
347,4,0.29575228691101074,22272
348,1,0.2701820135116577,22528
349,2,0.29378315806388855,22528
350,3,0.2884179651737213,22528
351,4,0.2935629189014435,22528
352,1,0.268322229385376,22784
353,2,0.2916611135005951,22784
354,3,0.2862955629825592,22784
355,4,0.2914433479309082,22784
356,1,0.26650330424308777,23040
357,2,0.2895857095718384,23040
358,3,0.28421977162361145,23040
359,4,0.28948789834976196,23040
360,1,0.26472392678260803,23296
361,2,0.28740760684013367,23296
362,3,0.28225216269493103,23296
363,4,0.2874586880207062,23296
364,1,0.2629827857017517,23552
365,2,0.28542259335517883,23552
366,3,0.2803225815296173,23552
367,4,0.285473108291626,23552
368,1,0.2612787187099457,23808
369,2,0.2834606468677521,23808
370,3,0.27838510274887085,23808
371,4,0.28353404998779297,23808
372,1,0.25961053371429443,24064
373,2,0.28155896067619324,24064
374,3,0.2765410542488098,24064
375,4,0.28163158893585205,24064
376,1,0.25797709822654724,24320
377,2,0.27969688177108765,24320
378,3,0.27473124861717224,24320
379,4,0.2797687351703644,24320
380,1,0.25637730956077576,24576
381,2,0.27782371640205383,24576
382,3,0.27291133999824524,24576
383,4,0.27789485454559326,24576
384,1,0.2548102140426636,24832
385,2,0.27614694833755493,24832
386,3,0.2711755037307739,24832
387,4,0.27621734142303467,24832
388,1,0.25327473878860474,25088
389,2,0.27439597249031067,25088
390,3,0.26947474479675293,25088
391,4,0.2744656503200531,25088
392,1,0.2517699897289276,25344
393,2,0.27263200283050537,25344
394,3,0.2677620053291321,25344
395,4,0.2727310061454773,25344
396,1,0.2502950429916382,25600
397,2,0.2709504961967468,25600
398,3,0.2661287188529968,25600
399,4,0.27104851603507996,25600
400,1,0.248849019408226,25856
401,2,0.2691686153411865,25856
402,3,0.2644588351249695,25856
403,4,0.26940295100212097,25856
404,1,0.24743106961250305,26112
405,2,0.267535924911499,26112
406,3,0.26284465193748474,26112
407,4,0.2677679657936096,26112
408,1,0.24604038894176483,26368
409,2,0.265951931476593,26368
410,3,0.2613057792186737,26368
411,4,0.26618173718452454,26368
412,1,0.24467618763446808,26624
413,2,0.26439809799194336,26624
414,3,0.2597962021827698,26624
415,4,0.26458001136779785,26624
416,1,0.2433377355337143,26880
417,2,0.2628735899925232,26880
418,3,0.2583150863647461,26880
419,4,0.2630537748336792,26880
420,1,0.24202430248260498,27136
421,2,0.26137757301330566,27136
422,3,0.2568112015724182,27136
423,4,0.2615056037902832,27136
424,1,0.24073518812656403,27392
425,2,0.2599092721939087,27392
426,3,0.2553351819515228,27392
427,4,0.25998610258102417,27392
428,1,0.2394697219133377,27648
429,2,0.2584678828716278,27648
430,3,0.2539357841014862,27648
431,4,0.25854402780532837,27648
432,1,0.23822727799415588,27904
433,2,0.25692909955978394,27904
434,3,0.25243818759918213,27904
435,4,0.25711092352867126,27904
436,1,0.23700720071792603,28160
437,2,0.25554054975509644,28160
438,3,0.25109007954597473,28160
439,4,0.25572073459625244,28160
440,1,0.23580892384052277,28416
441,2,0.2541767954826355,28416
442,3,0.2497696429491043,28416
443,4,0.25445088744163513,28416
444,1,0.23463185131549835,28672
445,2,0.2528371810913086,28672
446,3,0.2484690248966217,28672
447,4,0.2531088590621948,28672
448,1,0.2334754317998886,28928
449,2,0.2515052556991577,28928
450,3,0.24712982773780823,28928
451,4,0.2517903447151184,28928
452,1,0.23233912885189056,29184
453,2,0.25019651651382446,29184
454,3,0.2458278238773346,29184
455,4,0.2504478394985199,29184
456,1,0.23122242093086243,29440
457,2,0.2488086223602295,29440
458,3,0.24459826946258545,29440
459,4,0.2491784542798996,29440
460,1,0.23012478649616241,29696
461,2,0.24751965701580048,29696
462,3,0.2433401644229889,29696
463,4,0.24788632988929749,29696
464,1,0.22904576361179352,29952
465,2,0.2462771236896515,29952
466,3,0.24214915931224823,29952
467,4,0.24665677547454834,29952
468,1,0.22798487544059753,30208
469,2,0.24505630135536194,30208
470,3,0.2409781515598297,30208
471,4,0.2454327791929245,30208
472,1,0.22694166004657745,30464
473,2,0.2438708394765854,30464
474,3,0.23983000218868256,30464
475,4,0.24424749612808228,30464
476,1,0.22591570019721985,30720
477,2,0.24266694486141205,30720
478,3,0.23865950107574463,30720
479,4,0.24307851493358612,30720
480,1,0.2249065637588501,30976
481,2,0.241520494222641,30976
482,3,0.237545907497406,30976
483,4,0.2418893426656723,30976
484,1,0.22391381859779358,31232
485,2,0.24037723243236542,31232
486,3,0.23640650510787964,31232
487,4,0.24074308574199677,31232
488,1,0.22293709218502045,31488
489,2,0.2392677366733551,31488
490,3,0.2353290319442749,31488
491,4,0.23963063955307007,31488
492,1,0.22197599709033966,31744
493,2,0.23817600309848785,31744
494,3,0.23421280086040497,31744
495,4,0.23848000168800354,31744
496,1,0.22103016078472137,32000
497,2,0.23706349730491638,32000
498,3,0.2331317514181137,32000
499,4,0.23736508190631866,32000
500,1,0.22009921073913574,32256
501,2,0.23600630462169647,32256
502,3,0.23210866749286652,32256
503,4,0.23630866408348083,32256
504,1,0.2191828191280365,32512
505,2,0.2348593771457672,32512
506,3,0.23105624318122864,32512
507,4,0.23526562750339508,32512
508,1,0.2182806134223938,32768
509,2,0.23383565247058868,32768
510,3,0.23002015054225922,32768
511,4,0.23419690132141113,32768
512,1,0.21739231050014496,33024
513,2,0.23281385004520416,33024
514,3,0.22904153168201447,33024
515,4,0.23317231237888336,33024
516,1,0.21651755273342133,33280
517,2,0.23180687427520752,33280
518,3,0.22807785868644714,33280
519,4,0.23216259479522705,33280
520,1,0.21565605700016022,33536
521,2,0.23082955181598663,33536
522,3,0.2271287888288498,33536
523,4,0.23118257522583008,33536
524,1,0.21480752527713776,33792
525,2,0.2297646552324295,33792
526,3,0.22615939378738403,33792
527,4,0.23018120229244232,33792
528,1,0.21397164463996887,34048
529,2,0.2288171648979187,34048
530,3,0.22523880004882812,34048
531,4,0.229230597615242,34048
532,1,0.21314814686775208,34304
533,2,0.2278481423854828,34304
534,3,0.2242918461561203,34304
535,4,0.22825407981872559,34304
536,1,0.21233676373958588,34560
537,2,0.22687721252441406,34560
538,3,0.22334705293178558,34560
539,4,0.22733455896377563,34560
540,1,0.2115372270345688,34816
541,2,0.2259715348482132,34816
542,3,0.22241605818271637,34816
543,4,0.2265036553144455,34816
544,1,0.21074926853179932,35072
545,2,0.224980428814888,35072
