,Model Number,Accuracy,Sample Count
242,3,0.16649354994297028,15616
243,4,0.17863710224628448,15616
244,1,0.16651111841201782,15872
245,2,0.15888571739196777,15872
246,3,0.1654539704322815,15872
247,4,0.17736031115055084,15872
248,1,0.16552187502384186,16128
249,2,0.1579812467098236,16128
250,3,0.1644468754529953,16128
251,4,0.17612344026565552,16128
252,1,0.16456307470798492,16384
253,2,0.15710461139678955,16384
254,3,0.1634707748889923,16384
255,4,0.17492461204528809,16384
256,1,0.163633331656456,16640
257,2,0.15625454485416412,16640
258,3,0.1625242382287979,16640
259,4,0.17376212775707245,16640
260,1,0.1627313494682312,16896
261,2,0.15542985498905182,16896
262,3,0.16160596907138824,16896
263,4,0.1726343333721161,16896
264,1,0.16185587644577026,17152
265,2,0.1546294093132019,17152
266,3,0.16071470081806183,17152
267,4,0.17153970897197723,17152
268,1,0.16100579500198364,17408
269,2,0.153852179646492,17408
270,3,0.15984927117824554,17408
271,4,0.17047680914402008,17408
272,1,0.160180002450943,17664
273,2,0.15309713780879974,17664
274,3,0.15900857746601105,17664
275,4,0.16944429278373718,17664
276,1,0.15937747061252594,17920
277,2,0.1523633748292923,17920
278,3,0.15819154679775238,17920
279,4,0.16844084858894348,17920
280,1,0.1585972160100937,18176
281,2,0.15164999663829803,18176
282,3,0.15739722549915314,18176
283,4,0.16746528446674347,18176
284,1,0.1578383594751358,18432
285,2,0.1509561687707901,18432
286,3,0.1566246598958969,18432
287,4,0.16651643812656403,18432
288,1,0.15710000693798065,18688
289,2,0.15028108656406403,18688
290,3,0.15587297081947327,18688
291,4,0.1655932366847992,18688
292,1,0.15638133883476257,18944
293,2,0.14962400496006012,18944
294,3,0.15514133870601654,18944
295,4,0.1646946668624878,18944
296,1,0.1556815803050995,19200
297,2,0.14898420870304108,19200
298,3,0.15442894399166107,19200
299,4,0.16381973028182983,19200
300,1,0.1550000011920929,19456
301,2,0.14836104214191437,19456
302,3,0.15373507142066956,19456
303,4,0.1629675328731537,19456
304,1,0.1543359011411667,19712
305,2,0.14775384962558746,19712
306,3,0.1530589759349823,19712
307,4,0.16213718056678772,19712
308,1,0.15368860960006714,19968
309,2,0.14716202020645142,19968
310,3,0.15240000188350677,19968
311,4,0.16132785379886627,19968
312,1,0.1530575007200241,20224
313,2,0.14658500254154205,20224
314,3,0.15175749361515045,20224
315,4,0.16053874790668488,20224
316,1,0.15244197845458984,20480
317,2,0.14602221548557281,20480
318,3,0.15113086998462677,20480
319,4,0.15976913273334503,20480
320,1,0.15184146165847778,20736
321,2,0.1454731673002243,20736
322,3,0.1505195051431656,20736
323,4,0.15901829302310944,20736
324,1,0.15125542879104614,20992
